Date,Trap,DLI_Edge,DLI_Alvar,Calculation
6/3/2023 15:58,CP4,26.5,82.7,Time
6/3/2023 16:26,CP3,92.2,88.9,Time
6/3/2023 17:16,CP2,104.8,88.6,Time
6/13/2023 14:40,NB1,10.7,61.9,Time
6/13/2023 15:19,NB3,20,25.6,Time
6/13/2023 15:51,NB2,64.4,21,Time
6/13/2023 17:10,NB5,11,30,Time
6/14/2023 17:15,PS2,11.3,11.5,Time
6/14/2023 17:39,PS3,5.18,11.8,Time
6/15/2023 15:19,CP6,14.8,19.1,Time
6/15/2023 15:56,CP7,48.1,32.8,Time
6/15/2023 17:00,CP2,18.2,23.1,Time
6/19/2023 14:50,NB2,55.9,56.4,Time
6/19/2023 13:56,NB5,9.08,25,Time
6/19/2023 14:33,NB1,3.97,15.6,Time
6/19/2023 14:57,NB3,4.59,46.6,Time
6/20/2023 16:12,PS5,91.8,90,Time
6/21/2023 15:00,CP6,45.5,51.6,Time
6/21/2023 15:28,CP7,58,57.7,Time
6/20/2023 15:17,PS1,47.8,68.8,Time
6/20/2023 15:38,PS2,71,54.2,Time
6/20/2023 16:00,PS3,10.7,60.8,Time
6/20/2023 16:16,PS4,9.11,71.4,Time
6/21/2023 14:52,CP5,30.7,6.5,Time
6/21/2023 15:10,CP4,10.1,32.1,Time
6/21/2023 15:52,CP3,47.3,44.7,Time
6/21/2023 16:27,CP2,33.1,39.4,Time
6/28/2023 14:06,NB1,19.1,18.3,Time
6/28/2023 14:16,NB2,31.8,32,Time
6/28/2023 14:56,NB3,9.4,18.3,Time
6/28/2023 15:56,NB5,7.5,29.2,Time
6/29/2023 14:01,PS3,1.2,36.2,Time
6/29/2023 14:16,PS4,3.7,43.2,Time
6/29/2023 14:37,PS5,47.211,52.1,Time
6/29/2023 15:11,PS2,65.7,67.2,Time
6/29/2023 15:47,PS1,89,84.2,Time
7/4/2023 14:22,NB5,38,37.2,Time
7/6/2023 16:01,CP5,21.8,3.86,Time
7/4/2023 13:50,NB1,3.13,10.9,Time
7/4/2023 14:41,NB3,3.47,48.7,Time
7/4/2023 15:29,NB5,3.31,20.9,Time
7/5/2023 16:11,PS1,64.8,57,Time
7/5/2023 16:34,PS2,52,54.9,Time
7/5/2023 16:56,PS3,14.4,65.7,Time
7/6/2023 14:37,CP7,29.4,22.9,Time
7/6/2023 14:53,CP6,44.2,45.1,Time
7/6/2023 16:14,CP3,41.2,62.5,Time
7/6/2023 16:38,CP4,20,60.8,Time
7/6/2023 16:56,CP2,39,51.9,Time
7/17/2023 14:01,NB1,10.1,22,Time
7/17/2023 14:24,NB2,38.8,26,Time
7/17/2023 14:52,NB3,11.8,53,Time
7/17/2023 15:49,NB5,16.2,69,Time
7/18/2023 14:56,PS3,5.3,63.3,Time
7/18/2023 15:21,PS4,10.1,8.47,Time
7/18/2023 15:41,PS5,71.4,84.8,Time
7/18/2023 16:16,PS2,8.6,12.4,Time
7/19/2023 14:19,CP7,46.3,49.7,Time
7/19/2023 14:39,CP6,30.1,55.3,Time
7/19/2023 15:35,CP5,17.9,5.22,Time
7/19/2023 15:47,CP3,8.74,8.32,Time
7/19/2023 16:05,CP4,8.88,93.8,Time
7/24/2023 14:06,NB5,6.4,33.4,Time
7/24/2023 14:48,NB1,5.58,46.9,Time
7/24/2023 15:08,NB2,39.5,34.9,Time
7/24/2023 15:27,NB3,6.12,46.9,Time
7/25/2023 15:47,PS1,41.3,43.6,Time
7/25/2023 16:19,PS2,6.39,10.5,Time
7/25/2023 16:35,PS3,4.68,21.6,Time
7/25/2023 17:00,PS4,50,42.6,Time
7/25/2023 17:16,PS5,15.7,28.2,Time
7/26/2023 15:28,CP6,18.7,34.7,Time
7/26/2023 15:53,CP7,45.2,47.7,Time
7/26/2023 16:31,CP2,47.5,44.6,Time
7/31/2023 13:29,NB5,1.96,5.22,Time
7/31/2023 14:08,NB1,5.05,4.91,Time
7/31/2023 14:32,NB2,57.8,14.5,Time
7/31/2023 14:49,NB3,6.29,13,Time
8/1/2023 15:27,PS1,50.8,40.9,Time
8/1/2023 15:55,PS2,50.4,34.8,Time
8/1/2023 16:17,PS3,26.2,16.4,Time
8/1/2023 16:35,PS4,6.31,23.6,Time
8/1/2023 16:52,PS5,48,68.9,Time
8/2/2023 14:48,CP7,45.9,39.2,Time
8/2/2023 15:14,CP6,30,21.6,Time
8/2/2023 16:07,CP4,11.4,46,Time
8/2/2023 16:30,CP3,17.1,23,Time
8/2/2023 17:06,CP2,50.9,36.4,Time
8/15/2023 13:52,NB5,4.1,9.58,Time
8/15/2023 14:42,NB1,8.64,17.8,Time
8/15/2023 15:07,NB2,12.1,10.4,Time
8/15/2023 15:29,NB3,4.96,15.5,Time
8/16/2023 15:46,PS1,58,41.2,Time
8/16/2023 16:13,PS3,52.7,45.6,Time
8/16/2023 16:28,PS3,36.9,43.8,Time
8/16/2023 16:43,PS4,11.2,59.5,Time
8/17/2023 14:23,CP5,13.6,7.06,Time
8/17/2023 14:49,CP4,4.79,13.7,Time
8/17/2023 15:23,CP3,28.6,25,Time
8/21/2023 13:47,NB5,4.68,19.7,Time
8/21/2023 14:34,NB1,7.05,50,Time
8/21/2023 14:59,NB2,36,27,Time
8/21/2023 15:21,NB3,10.3,51,Time
8/22/2023 14:52,PS1,30,47.4,Time
8/22/2023 15:24,PS2,36.5,41,Time
8/22/2023 15:52,PS3,24,53,Time
8/22/2023 16:13,PS4,10.4,55,Time
8/23/2023 14:34,CP6,18.1,40.7,Time
8/23/2023 14:50,CP7,28.4,26.2,Time
8/23/2023 15:30,CP5,13.9,9.3,Time
8/23/2023 15:48,CP4,4.42,19.1,Time
8/23/2023 16:07,CP3,,21.7,Time
9/11/2023 13:28,NB5,4.28,10.1,Time
9/11/2023 14:11,NB1,4,15,Time
9/11/2023 14:44,NB2,25.9,11.7,Time
9/11/2023 15:15,NB3,4.92,25,Time
9/13/2023 13:23,PS1,10.4,5.08,Time
9/13/2023 13:57,PS2,8.43,11,Time
9/13/2023 14:19,PS3,4.62,5.46,Time
9/13/2023 14:40,PS4,5.77,20.1,Time
9/14/2023 14:18,CP7,36.6,28.2,Time
9/14/2023 15:10,CP5,37.3,2.03,Time
9/14/2023 15:39,CP4,20,8.32,Time
9/14/2023 16:03,CP3,14,50,Time
9/19/2023 14:05,NB5,5.08,11.7,Time
9/19/2023 14:49,NB1,3.18,44.1,Time
9/19/2023 15:12,NB2,46.3,7.76,Time
9/19/2023 15:38,NB3,2.01,31,Time
9/20/2023 14:23,PS1,23.4,17.6,Time
9/20/2023 15:05,PS2,22,11.6,Time
9/20/2023 15:28,PS3,34.6,35.7,Time
9/20/2023 15:54,PS4,6.72,26.8,Time
9/21/2023 14:06,CP7,11.2,10.5,Time
9/21/2023 14:55,CP5,14.5,6.6,Time
9/21/2023 15:14,CP4,7.11,20.7,Time
9/21/2023 15:34,CP3,21.4,23.2,Time
9/21/2023 16:06,CP2,45.7,31.9,Time
9/25/2023 9:39,NB5,5.85,11.6,Time
9/25/2023 10:27,NB1,5.72,18,12H
9/25/2023 10:50,NB2,13.7,13.3,12H
9/25/2023 11:09,NB3,7.09,13.1,12H
9/27/2023 11:31,CP7,13.3,15.3,12H
9/27/2023 12:22,CP5,23,7.25,12H
9/27/2023 12:41,CP4,8.3,18.2,12H
9/27/2023 13:03,CP3,16,16.5,12H
9/27/2023 13:34,CP2,17.4,17.9,12H
9/26/2023 12:03,PS1,38.5,43.2,12H
9/26/2023 13:18,PS2,26.1,30.1,12H
9/26/2023 12:36,PS3,9.75,33.1,12H
9/26/2023 12:51,PS4,25.4,34,12H
10/5/2023 12:05,CP4,17.1,36.4,12H
10/5/2023 11:50,CP5,39.4,20.5,12H
10/5/2023 11:08,CP7,31.7,37.3,12H
10/3/2023 9:49,NB1,4.86,9.23,12H
10/3/2023 10:08,NB2,10.9,10.5,12H
10/3/2023 10:30,NB3,8.35,8.91,12H
10/3/2023 9:06,NB5,8.19,8.45,12H
10/5/2023 12:46,CP2,33.1,33.2,12H
10/5/2023 12:23,CP3,31.9,33,12H
10/4/2023 11:30,PS1,13,15.4,12H
10/4/2023 11:57,PS3,8.55,14.3,12H
10/4/2023 12:15,PS4,13.9,18.3,12H
10/4/2023 12:39,PS2,20.5,22,12H
